Name,Price,Overall Rating,Total no of rating,Total no of reviews,5 star rating,4 star rating,3 star rating,2 star rating,1 star rating,Camera Rating,Battery Rating,Display Rating,Design Rating,Variant,Display,Camera,Offers
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹17,670",4.4,"(88,862)","6,219 Reviews","57,463","18,556","5,546","2,143","5,154",4.1,4.2,4.2,4.2,6 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Display,64MP Rear Camera | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹2326 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"OnePlus 8T 5G (Aquamarine Green, 128 GB)","₹29,990",4.4,(168),16 Reviews,118,24,9,2,15,4.1,4.2,4.4,4.2,8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Display,48MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"OnePlus 8T 5G (Lunar Silver, 128 GB)","₹29,990",4.4,(168),16 Reviews,118,24,9,2,15,4.1,4.2,4.4,4.2,8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Display,48MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3844 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"Redmi 9A Sport (Coral Green, 32 GB)","₹8,448",4.2,"(7,006)",498 Reviews,"3,929","1,742",703,219,413,3.6,4.1,4.0,3.9,3 GB RAM | 32 GB ROM,16.59 cm (6.53 inch) Display,13MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"POCO C51 (Power Black, 64 GB)","₹6,499",4.2,"(37,049)","1,815 Reviews","22,421","6,841","3,124","1,350","3,313",3.3,3.9,3.7,3.7,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3500 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"realme C53 (Champion Gold, 64 GB)","₹10,999",4.6,"(5,840)",229 Reviews,"4,644",658,207,101,230,4.0,4.2,4.0,4.4,6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹2000 off (price inclusive of cashback/coupon),Spotify Premium - 3M at ₹119"
"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹19,999",4.3,"(25,886)","1,893 Reviews","16,312","5,692","1,603",609,"1,670",4.1,4.1,4.2,4.3,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,₹500 Off On Selected Bank Credit and Debit Card Transactions.,₹500 Off On Selected Bank Credit and Debit Card Transactions.,Get extra ₹3000 off (price inclusive of cashback/coupon)"
"vivo T2x 5G (Aurora Gold, 128 GB)","₹15,999",4.3,"(21,767)","1,258 Reviews","14,309","4,078","1,408",592,"1,380",3.9,4.1,4.2,4.3,8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹5000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"Mi 11 Lite (Vinyl Black, 128 GB)","₹21,999",4.2,"(13,163)","1,430 Reviews","7,730","2,946","1,018",420,"1,049",3.8,3.8,4.1,3.7,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.64 cm (6.55 inch) Full HD+ Display,64MP + 8MP + 5MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Spotify Premium - 12M at ₹699,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"APPLE iPhone 14 (Midnight, 128 GB)","₹69,999",4.6,"(43,738)","1,679 Reviews","35,612","4,598","1,119",621,"1,788",4.6,4.4,4.6,4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,₹250 Instant Discount on ICICI Bank Credit Card Non-EMI Transactions,₹250 off on Kotak Bank Credit Card Non-EMI transactions,Get extra ₹9901 off (price inclusive of cashback/coupon)"
"IQOO Z6 Lite 5G (With Charger) (Stellar Green, 128 GB)","₹15,190",4.3,"(1,591)",97 Reviews,950,384,134,45,78,3.8,4.1,4.1,4.2,6 GB RAM | 128 GB ROM,16.97 cm (6.68 inch) Display,50MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹1729 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,499",4.3,"(1,63,123)","9,563 Reviews","1,04,288","32,551","11,932","4,576","9,776",3.7,4.2,4.0,4.0,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,"Get 10% Cashback on Samsung Axis bank Credit Card,5% Cashback on Flipkart Axis Bank Card,Get extra ₹5500 off (price inclusive of cashback/coupon),Spotify Premium - 3M at ₹119"
"Xiaomi 11Lite NE (Diamond Dazzle, 128 GB)","₹22,799",4.2,"(1,854)",192 Reviews,"1,125",410,115,38,166,4.0,3.8,4.3,4.0,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.64 cm (6.55 inch) Full HD+ Display,64MP + 8MP + 5MP | 20MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹1691 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA g73 5G (Lucent White, 128 GB)","₹16,999",3.9,"(22,093)","2,706 Reviews","11,213","5,217","1,872",830,"2,961",3.6,3.5,3.9,4.0,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹5000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA g73 5G (Midnight Blue, 128 GB)","₹16,999",3.9,"(22,093)","2,706 Reviews","11,213","5,217","1,872",830,"2,961",3.6,3.5,3.9,4.0,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹5000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA e13 (Creamy White, 64 GB)","₹6,499",4,"(4,172)",371 Reviews,"2,056","1,017",435,165,499,3.1,3.8,3.6,3.9,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3500 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA e13 (Aurora Green, 64 GB)","₹6,499",4,"(4,172)",371 Reviews,"2,056","1,017",435,165,499,3.1,3.8,3.6,3.9,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3500 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA Edge 40 (Nebula Green, 256 GB)","₹29,999",4.2,"(13,541)","2,165 Reviews","8,047","3,005",785,366,"1,338",3.7,3.6,4.6,4.7,8 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹5000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹15,999",4.1,"(20,138)","1,771 Reviews","11,123","4,709","1,524",611,"2,171",3.5,3.8,3.9,4.0,8 GB RAM | 128 GB ROM,41.94 cm (16.51 cm) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹9000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA e13 (Cosmic Black, 64 GB)","₹6,499",4,"(4,172)",371 Reviews,"2,056","1,017",435,165,499,3.1,3.8,3.6,3.9,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3500 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"OnePlus 8T 5G (Lunar Silver, 128 GB)","₹29,990",4.4,(168),16 Reviews,118,24,9,2,15,4.1,4.2,4.4,4.2,8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Display,48MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3844 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA Edge 30 Ultra (Starlight White, 256 GB)","₹49,999",4.3,(870),139 Reviews,581,140,45,21,83,3.8,4.3,4.5,4.5,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,200MP + 50MP + 12MP | 60MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹25000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA Edge 30 Fusion (Solar Gold, 128 GB)","₹34,999",4.3,"(4,203)",631 Reviews,"2,673",849,218,91,372,3.8,3.9,4.6,4.7,8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP + 2MP | 32MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹15000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA Edge 30 Fusion (Viva Magenta, 128 GB)","₹35,999",4.3,"(4,203)",631 Reviews,"2,673",849,218,91,372,3.8,3.9,4.6,4.7,8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP + 2MP | 32MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹14000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"OnePlus 10T 5G (Moonstone Black, 256 GB)","₹48,970",4.2,(152),13 Reviews,101,20,8,10,13,4.2,4.4,4.5,4.4,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹5029 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA g31 (Baby Blue, 128 GB)","₹12,999",4.1,"(17,904)","1,737 Reviews","9,580","4,665","1,572",577,"1,510",3.6,4.0,4.1,3.9,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹4000 off (price inclusive of cashback/coupon),Spotify Premium - 3M at ₹119"
"Honor 9N (Sapphire Blue, 32 GB)","₹9,473",4.4,"(2,32,632)","21,832 Reviews","1,47,554","52,467","17,184","5,288","10,139",4.1,3.5,4.3,4.2,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"MOTOROLA g73 5G (Lucent White, 128 GB)","₹16,999",3.9,"(22,093)","2,706 Reviews","11,213","5,217","1,872",830,"2,961",3.6,3.5,3.9,4.0,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹5000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA e13 (Cosmic Black, 64 GB)","₹6,499",4,"(4,172)",371 Reviews,"2,056","1,017",435,165,499,3.1,3.8,3.6,3.9,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3500 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA e13 (Aurora Green, 64 GB)","₹6,499",4,"(4,172)",371 Reviews,"2,056","1,017",435,165,499,3.1,3.8,3.6,3.9,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3500 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA g73 5G (Midnight Blue, 128 GB)","₹16,999",3.9,"(22,093)","2,706 Reviews","11,213","5,217","1,872",830,"2,961",3.6,3.5,3.9,4.0,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹5000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA e13 (Creamy White, 64 GB)","₹6,499",4,"(4,172)",371 Reviews,"2,056","1,017",435,165,499,3.1,3.8,3.6,3.9,2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3500 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹15,999",4.1,"(20,138)","1,771 Reviews","11,123","4,709","1,524",611,"2,171",3.5,3.8,3.9,4.0,8 GB RAM | 128 GB ROM,41.94 cm (16.51 cm) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹9000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA g42 (Atlantic Green, 64 GB)","₹11,848",4.2,"(9,162)",932 Reviews,"5,014","2,389",734,277,748,3.6,4.1,4.2,4.1,4 GB RAM | 64 GB ROM,16.43 cm (6.47 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹1151 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹14,999",4.1,"(40,882)","3,631 Reviews","21,990","10,899","3,303","1,127","3,563",3.4,4.0,4.0,4.0,6 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹7000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA e32 (Eco Black, 64 GB)","₹7,999",3.9,"(11,657)",945 Reviews,"5,914","2,453","1,173",572,"1,545",3.4,3.7,3.6,3.9,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹4000 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA G62 5G (Midnight Gray, 128 GB)","₹15,999",4.1,"(20,138)","1,771 Reviews","11,123","4,709","1,524",611,"2,171",3.5,3.8,3.9,4.0,8 GB RAM | 128 GB ROM,41.94 cm (16.51 cm) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹9000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA Edge 40 (Nebula Green, 256 GB)","₹29,999",4.2,"(13,541)","2,165 Reviews","8,047","3,005",785,366,"1,338",3.7,3.6,4.6,4.7,8 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹5000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹14,999",4.1,"(40,882)","3,631 Reviews","21,990","10,899","3,303","1,127","3,563",3.4,4.0,4.0,4.0,6 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹7000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA g13 (Matte Charcoal, 128 GB)","₹9,999",4,"(37,621)","3,484 Reviews","19,340","8,492","3,426","1,515","4,848",3.3,3.8,3.7,4.1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹4000 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA g42 (Metallic Rose, 64 GB)","₹9,999",4.2,"(9,162)",932 Reviews,"5,014","2,389",734,277,748,3.6,4.1,4.2,4.1,4 GB RAM | 64 GB ROM,16.43 cm (6.47 inch) Full HD+ AMOLED Display,50MP + 8MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹7000 off (price inclusive of cashback/coupon),Spotify Premium - 3M at ₹119"
"MOTOROLA G32 (Satin Silver, 128 GB)","₹11,999",4.1,"(38,434)","3,288 Reviews","21,265","8,765","3,006","1,302","4,096",3.6,3.9,3.9,3.9,8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹7000 off (price inclusive of cashback/coupon),Spotify Premium - 3M at ₹119"
"MOTOROLA e13 (Aurora Green, 64 GB)","₹7,299",4,"(39,165)","3,198 Reviews","20,206","9,489","3,955","1,560","3,955",3.1,3.9,3.7,4.0,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3700 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA g13 (Lavender Blue, 128 GB)","₹9,999",4,"(37,621)","3,484 Reviews","19,340","8,492","3,426","1,515","4,848",3.3,3.8,3.7,4.1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹4000 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA e13 (Creamy White, 64 GB)","₹7,299",4,"(39,165)","3,198 Reviews","20,206","9,489","3,955","1,560","3,955",3.1,3.9,3.7,4.0,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3700 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA G32 (Mineral Gray, 128 GB)","₹11,999",4.1,"(38,434)","3,288 Reviews","21,265","8,765","3,006","1,302","4,096",3.6,3.9,3.9,3.9,8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹7000 off (price inclusive of cashback/coupon),Spotify Premium - 3M at ₹119"
"MOTOROLA e32 (Arctic Blue, 64 GB)","₹7,999",3.9,"(11,657)",945 Reviews,"5,914","2,453","1,173",572,"1,545",3.4,3.7,3.6,3.9,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹4000 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA e13 (Cosmic Black, 64 GB)","₹7,299",4,"(39,165)","3,198 Reviews","20,206","9,489","3,955","1,560","3,955",3.1,3.9,3.7,4.0,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3700 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"Honor 7S (Blue, 16 GB)","₹8,999",4.1,"(1,48,888)","11,831 Reviews","81,944","30,920","17,222","6,785","12,017",3.4,3.4,3.7,3.7,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) Display,13MP Rear Camera | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"MOTOROLA E7 Power (Coral Red, 32 GB)","₹6,990",4,"(10,451)","1,008 Reviews","5,188","2,785","1,171",421,886,3.3,4.0,3.7,3.8,2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹1504 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA g31 (Meteorite Grey, 64 GB)","₹11,999",4.2,"(41,182)","4,395 Reviews","21,639","12,054","3,525","1,111","2,853",3.6,4.1,4.2,4.0,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹2000 off (price inclusive of cashback/coupon),Spotify Premium - 3M at ₹119"
"MOTOROLA Edge 30 Ultra (Interstellar Black, 256 GB)","₹49,999",4.3,(870),139 Reviews,581,140,45,21,83,3.8,4.3,4.5,4.5,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,200MP + 50MP + 12MP | 60MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹25000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA Edge 40 (Lunar Blue, 256 GB)","₹29,999",4.2,"(13,541)","2,165 Reviews","8,047","3,005",785,366,"1,338",3.7,3.6,4.6,4.7,8 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹5000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA Edge 40 (Viva Magenta, 256 GB)","₹29,999",4.2,"(13,541)","2,165 Reviews","8,047","3,005",785,366,"1,338",3.7,3.6,4.6,4.7,8 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹5000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA Edge 30 Fusion (Cosmic grey, 128 GB)","₹34,999",4.3,"(4,203)",631 Reviews,"2,673",849,218,91,372,3.8,3.9,4.6,4.7,8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP + 2MP | 32MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹15000 off (price inclusive of cashback/coupon),Spotify Premium - 12M at ₹699"
"MOTOROLA g22 (Cosmic Black, 64 GB)","₹10,999",3.8,"(34,414)","3,822 Reviews","16,634","6,414","3,536","1,898","5,932",3.3,3.6,3.4,3.6,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 8MP + 2MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹3000 off (price inclusive of cashback/coupon),Spotify Premium - 3M at ₹119"
"MOTOROLA e40 (Carbon Gray, 64 GB)","₹8,999",4.1,"(85,017)","7,703 Reviews","46,899","20,335","7,999","3,043","6,741",3.5,4.0,3.8,3.9,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹2000 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"MOTOROLA G32 (Satin Maroon, 128 GB)","₹11,999",4.1,"(38,434)","3,288 Reviews","21,265","8,765","3,006","1,302","4,096",3.6,3.9,3.9,3.9,8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹7000 off (price inclusive of cashback/coupon),Spotify Premium - 3M at ₹119"
"MOTOROLA e22s (Eco Black, 64 GB)","₹8,709",3.9,(372),24 Reviews,186,87,30,19,50,2.7,3.6,3.0,3.8,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,16MP + 2MP | 8MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹280 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
Motorola a70,"₹1,869",4,"(1,549)",158 Reviews,747,406,161,76,159,2.8,4.0,3.8,3.8,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) Quarter QVGA Display,1750 mAh Battery,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹65 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
