Name,Price,Overall Rating,Total no of rating,Total no of reviews,5 star rating,4 star rating,3 star rating,2 star rating,1 star rating,Camera Rating,Battery Rating,Display Rating,Design Rating,Variant,Display,Camera,Offers
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹15,999",4.3,"(2,03,019)","15,526 Reviews","1,21,848","47,633","14,994","5,467","13,077",3.8,4.0,4.0,4.0,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,"Get 10% Cashback on Samsung Axis bank Credit Card,5% Cashback on Flipkart Axis Bank Card,₹750 Off On ICICI bank Credit and Debit Card Transactions,Get extra ₹8000 off (price inclusive of cashback/coupon)"
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹13,990",4.2,"(26,668)","2,086 Reviews","15,591","6,074","2,011",791,"2,201",3.7,4.1,3.9,3.7,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP | 13MP Front Camera,"Get 10% Cashback on Samsung Axis bank Credit Card,5% Cashback on Flipkart Axis Bank Card,₹1000 Off On Selected Bank Credit Card Transactions,Get extra ₹4500 off (price inclusive of cashback/coupon)"
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹15,999",4.3,"(2,03,019)","15,526 Reviews","1,21,848","47,633","14,994","5,467","13,077",3.8,4.0,4.0,4.0,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,"Get 10% Cashback on Samsung Axis bank Credit Card,5% Cashback on Flipkart Axis Bank Card,₹750 Off On ICICI bank Credit and Debit Card Transactions,Get extra ₹8000 off (price inclusive of cashback/coupon)"
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹8,199",4.2,"(35,983)","2,038 Reviews","21,066","7,487","3,290","1,275","2,865",3.3,3.8,3.8,3.8,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD Display,13MP + 2MP | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹8,890",4.2,"(35,983)","2,038 Reviews","21,066","7,487","3,290","1,275","2,865",3.3,3.8,3.8,3.8,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD Display,13MP + 2MP | 5MP Front Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*,Purchase now & get 1 surprise cashback coupon in Future"
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹15,999",4.3,"(2,03,019)","15,526 Reviews","1,21,848","47,633","14,994","5,467","13,077",3.8,4.0,4.0,4.0,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,"Get 10% Cashback on Samsung Axis bank Credit Card,5% Cashback on Flipkart Axis Bank Card,₹750 Off On ICICI bank Credit and Debit Card Transactions,Get extra ₹8000 off (price inclusive of cashback/coupon)"
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹9,499",4.3,"(1,63,123)","9,356 Reviews","1,04,288","32,551","11,932","4,576","9,776",3.7,4.2,4.0,4.0,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,"Get 10% Cashback on Samsung Axis bank Credit Card,5% Cashback on Flipkart Axis Bank Card,Get extra ₹5500 off (price inclusive of cashback/coupon),Spotify Premium - 3M at ₹119"
"SAMSUNG Galaxy A03 Core (Black, 32 GB)","₹7,499",4.1,"(3,917)",309 Reviews,"2,114",885,408,148,362,3.3,3.8,3.7,3.8,2 GB RAM | 32 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,"Get 10% Cashback on Samsung Axis bank Credit Card,5% Cashback on Flipkart Axis Bank Card,Get extra ₹500 off (price inclusive of cashback/coupon)"
"SAMSUNG GALAXY M13 (Stardust Brown, 64 GB)","₹11,690",4.2,"(3,913)",231 Reviews,"2,315",874,324,123,277,3.7,4.2,4.0,4.0,4 GB RAM | 64 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
"SAMSUNG Galaxy M33 5G (Emerald Brown, 128 GB)","₹17,990",4.2,"(3,520)",246 Reviews,"2,065",780,268,113,294,3.8,4.1,4.0,4.0,8 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,"5% Cashback on Flipkart Axis Bank Card,Get extra ₹2058 off (price inclusive of cashback/coupon),Sign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹10,000*"
